Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Holiday Inn Express & Suites Hill City Mount Rushmore,Hill City, SD ,57745,60,8.6,260 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.93393116,-103.5702676,Upper Midscale Class
Quality Inn Near Mount Rushmore,Hill City, SD ,57745,55,8.6,498 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/198185299.jpg?k=30d624d5b7c4da3a1299dfa7bf585babc40ed3c849ca1150d3a3960a30c12303&o=,43.92644606,-103.5764472,Midscale Class
Lantern Inn,Hill City, SD ,57745,19,NA,NA,,43.93555695,-103.5672728,Economy Class
The Lodge at Palmer Gulch,Hill City, SD ,57745,62,8.5,305 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.90159752,-103.537738,Midscale Class
Best Western Golden Spike Inn & Suites,Hill City, SD ,57745,107,8.3,794 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/107514715.jpg?k=3eb0a8493277772673871c31c6e12d2a6b3c84d8323032462ddaf01d565abd60&o=,43.93480638,-103.5658259,Midscale Class
Comfort Inn & Suites Near Mount Rushmore Hill City,Hill City, SD ,57745,88,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.93292854,-103.5674888,Upper Midscale Class
Super 8 Hill City Mount Rushmore Area,Hill City, SD ,57745,57,6.9,277 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.93368295,-103.5762,Economy Class
Crooked Creek Resort,Hill City, SD ,57745,32,NA,NA,,43.89926325,-103.5920657,Economy Class
Hills Inn,Hot Springs, SD ,57747,35,8.7,430 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/51355121.jpg?k=07e0a14cc3057a7cf1e7602f857382429eaa97ddf257c57cb9857fc0cd2ddb8d&o=,43.42558149,-103.4702179,Economy Class
Dollar Inn,Hot Springs, SD ,57747,28,NA,NA,,43.44091326,-103.4753181,Economy Class
Econo Lodge Hot Springs,Hot Springs, SD ,57747,50,6.1,160 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/291855815.jpg?k=c58d04032ccb639ec65aa26e30c33d03edf493fd56230f4d3f25fe2ef7871f7f&o=,43.42123581,-103.4664324,Economy Class
USA Stay Hotel & Suites,Hot Springs, SD ,57747,85,7.9,421 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42047634,-103.4792356,Economy Class
Americas Best Value Inn by the River Hot Springs,Hot Springs, SD ,57747,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.43583479,-103.4819323,Economy Class
Skyline Motel,Hot Springs, SD ,57747,22,NA,NA,,43.44151429,-103.4746054,Economy Class
Super 8 Hot Springs,Hot Springs, SD ,57747,48,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42337076,-103.4821231,Economy Class
Baymont Inn & Suites Hot Springs,Hot Springs, SD ,57747,51,7.3,416 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.42498962,-103.4688559,Midscale Class
WaterCrest Hotel & Conference Center,Howard, SD ,57349,24,7.4,15 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.01096011,-97.52703217,Midscale Class
Crossroads Hotel,Huron, SD ,57350,100,8,153 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36145556,-98.21597959,Upper Midscale Class
Super 8 Huron,Huron, SD ,57350,67,6.5,51 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.34050933,-98.21486601,Economy Class
Traveler Motel,Huron, SD ,57350,18,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36920674,-98.23508173,Economy Class
Quality Inn Huron,Huron, SD ,57350,60,7.6,73 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/169744428.jpg?k=db6cd18145462cd2d3fa54e03d5458a3207960cc359fdac63329bcb2cf0aad9e&o=,44.4966206,-98.28562731,Midscale Class
Dakota Inn,Huron, SD ,57350,71,7.1,23 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/54517581.jpg?k=fcade067ad564677bb88be1bd3f617a3450c2d3acf667c45a46166cfd5fa2b64&o=,44.36936984,-98.19988866,Economy Class
Best Western Of Huron,Huron, SD ,57350,52,7.5,51 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/252434604.jpg?k=7f321ed5f37bf05cc5063b017bcb8a4608c728ea481284d088835251217bee41&o=,44.34273418,-98.21331961,Midscale Class
Cedar Pass Lodge,Interior, SD ,57750,23,NA,NA,,43.74782303,-101.9452834,Midscale Class
